OBJECTID,FacilityAd,FacilityTy,SymbolCode,FacilityNa,FacilityOw,FacilityOp,TotalSpace,PublicPriv,FootprintA,Shape_Leng,DisplayNum,Prices,Condition,Photos,EnforcementActivities,FacilityAd_Upper,Shape_STArea__,Shape_STLength__,GlobalID,ShapeSTArea,ShapeSTLength
10,621 Cass,Garage,2,First Street Parking Deck,Wayne County,Sterling Group,1450,Public,1.466097,1200.294875,106,,,,,621 CASS,63863.42652,1200.294875,{DB384C23-7143-490F-A9CC-D4E9D7F95431},63863.42652,1200.294875
124,241 Madison,Surface Lot,1,Detroit Athletic Club Valet Lot,Detroit Athletic Club,Detroit Athletic Club,24,Private,0.411493,543.381319,88,,,,,241 MADISON,17820.82877,543.381065,{74C14BAD-6A4A-4174-9548-C6BA75B4CBD0},17820.82877,543.381065
206,2201 W Grand River,Surface Lot,1,MGM Grand Detroit Casino Surface Lot,MGM Grand Detroit,MGM Grand Detroit,274,Public,1.933679,1136.887079,170,,,,,2201 W GRAND RIVER,84231.40475,1136.8871,{1B4EE391-5A43-460A-BD59-7F99B5BBE69E},84231.40475,1136.8871
1,900 W Jefferson Ave,Garage,10,Joe Louis Arena,City of Detroit,City of Detroit Municipal Parking Department,3000,Public,3.161493,1770.762902,129,,,,,900 W JEFFERSON AVE,137715.0594,1770.762668,{D43EA6C8-6D4C-47A0-9DC2-AF3F6907F485},137715.0594,1770.762668
36,500 Woodward Ave,Garage,2,One Detroit Center,500 Woodward LLC,PPM Global,2078,Public,1.536461,1039.311971,184,,,,,500 WOODWARD AVE,66928.52951,1039.311971,{77906388-D2CC-40ED-B898-CA0D8788F330},66928.52951,1039.311971
56,110 Cadillac Square,Surface Lot,1,110 Cadillac Square (at Bates),"Huttenbauer, Samuel Jr.",Handy or Mobile,40,Public,0.298469,464.624489,4,,,,,110 CADILLAC SQUARE,13001.36282,464.624489,{CA9DB790-304E-49CC-BA2A-199C6210F349},13001.36282,464.624489
63,1000 Franklin,Garage,2,Riverside Deck,"Riverfront Holdings, Inc.",Metropolitan Parking Services,2164,Public,1.741614,1105.581706,203,,,,,1000 FRANKLIN,75864.95243,1105.581259,{CE34E863-C52E-4192-8A43-D6E52D46B757},75864.95243,1105.581259
89,651 E Congress St,Garage,2,Blue Cross Parking Garage,Blue Cross Blue Shield of Michigan,Blue Cross Blue Shield of Michigan,1825,Private,1.824577,1131.393056,66,,,,,651 E CONGRESS ST,79478.87362,1131.393056,{23C801CE-A54F-447A-884B-F77A317418A2},79478.87362,1131.393056
120,1426 Broadway St,Garage,2,Detroit Opera House Garage,Michigan Opera Theatre,Detroit Opera House,770,Public,0.891942,946.824903,92,,,,,1426 BROADWAY ST,38853.13061,946.823175,{14BB735D-D2EB-4CDD-B2B3-D219F39801E8},38853.13061,946.823175
133,881 Monroe St,Garage,2,Greektown Casino Garage,Greektown Casino,Greektown Casino,2900,Public,1.985277,1301.840128,118,,,,,881 MONROE ST,86478.93207,1301.839882,{E27B58AD-DA8D-43D1-8F6B-0566AFDB6887},86478.93207,1301.839882
141,1600 Woodward Ave,Garage,2,Grand Circus Garage,City of Detroit,Park Rite,900,Public,5.235002,2040.633616,115,,,,,1600 WOODWARD AVE,228037.5759,2040.633018,{FDC26650-EF28-4FD2-8758-46FC9A01CD34},228037.5759,2040.633018
175,660 Gratiot,Surface Lot,1,New Proposed Jail Site,Wayne County,Wayne County,1300,Public,7.243066,2225.969617,178,,,,,660 GRATIOT,315509.2287,2225.969617,{146F0655-164B-4AC2-A451-C3E9E6B491F9},315509.2287,2225.969617
